id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,detailed_season,neighbourhood_group
42409434.0,,,,,The Burlington Hotel,,,,229716119,,,,,,,,,,,,,,,,,,Westlake,,,34.05981,-118.26963,,Entire home/apt,,,,,,,113,1,,,,,,,,,,,,,124,,1702,,,,2022-09-06,,,,,,,,,,5,,,,56.17,Early Fall,City of Los Angeles
37122502.0,,,,,Amazing Micro Unit W/ communal rooftop and kitchen,,,,266755066,,,,,,,,,,,,,,,,,,East Village,,,40.7238,-73.99038,,Private room,,,,,,,243,1,,,,,,,,,,,,,343,,1384,,,,2022-09-06,,,,,,,,,,4,,,,40.43,Early Fall,Manhattan
49381739.0,,,,,Come catch a Broadway Show & stay in Times Square,,,,397872858,,,,,,,,,,,,,,,,,,Theater District,,,40.7636,-73.98473,,Private room,,,,,,,457,1,,,,,,,,,,,,,319,,1229,,,,2022-08-23,,,,,,,,,,12,,,,78.61,Late Summer,Manhattan
3861673.0,,,,,Beautiful Guest Suite for 2 in Ballard,,,,19928221,,,,,,,,,,,,,,,,,,Whittier Heights,,,47.68551,-122.37523,,Entire home/apt,,,,,,,86,1,,,,,,,,,,,,,216,,1185,,,,2022-09-01,,,,,,,,,,1,,,,12.08,Early Fall,Ballard
1990543.0,,,,,Private 1906 Bungalow,,,,10265095,,,,,,,,,,,,,,,,,,Santa Monica,,,34.00365,-118.48373,,Entire home/apt,,,,,,,206,1,,,,,,,,,,,,,149,,1027,,,,2022-08-31,,,,,,,,,,3,,,,9.98,Late Summer,Other Cities
2712170.0,,,,,"Chandy's ""Elua"" Just 2 miles from the Kona Airport",,,,13880880,,,,,,,,,,,,,,,,,,North Kona,,,19.72225,-156.01579,,Private room,,,,,,,85,1,,,,,,,,,,,,,21,,1025,,,,2022-09-09,,,,,,,,,,2,,,,10.08,Early Fall,Hawaii
42515360.0,,,,,"A Lush Room at The Hoxton, Downtown LA",,,,295744253,,,,,,,,,,,,,,,,,,Downtown,,,34.03972,-118.25852,,Private room,,,,,,,246,1,,,,,,,,,,,,,269,,1001,,,,2022-08-26,,,,,,,,,,3,,,,32.75,Late Summer,City of Los Angeles
25002.0,,,,,Beautiful Private  Spot in North Ballard,,,,102684,,,,,,,,,,,,,,,,,,Whittier Heights,,,47.67947,-122.37196,,Entire home/apt,,,,,,,95,2,,,,,,,,,,,,,119,,942,,,,2022-09-11,,,,,,,,,,1,,,,6.24,Early Fall,Ballard
18039677.0,,,,,Sunrise Studio at the Hana Bay B&B,,,,123624556,,,,,,,,,,,,,,,,,,Hana,,,20.75799,-155.98589,,Entire home/apt,,,,,,,185,1,,,,,,,,,,,,,191,,940,,,,2022-08-27,,,,,,,,,,3,,,,14.32,Late Summer,Maui
11610598.0,,,,,4 minutes from the park! Travel tips!,,,,31348206,,,,,,,,,,,,,,,,,,Puna,,,19.4333,-155.22213,,Entire home/apt,,,,,,,167,1,,,,,,,,,,,,,156,,902,,,,2022-09-11,,,,,,,,,,1,,,,11.62,Early Fall,Hawaii
7293369.0,,,,,"Peace, Beauty & Ocean View, Malibu",,,,37437994,,,,,,,,,,,,,,,,,,Malibu,,,34.04074,-118.61859,,Private room,,,,,,,145,1,,,,,,,,,,,,,254,,900,,,,2022-09-04,,,,,,,,,,1,,,,10.37,Early Fall,Other Cities
49440252.0,,,,,Hudson River View King Bed at Higher Floor,,,,397872858,,,,,,,,,,,,,,,,,,Theater District,,,40.7619,-73.98454,,Private room,,,,,,,475,1,,,,,,,,,,,,,327,,894,,,,2022-08-24,,,,,,,,,,12,,,,57.19,Late Summer,Manhattan
49439129.0,,,,,Short walk to Central Park/5th Ave/Radio City,,,,397872858,,,,,,,,,,,,,,,,,,Theater District,,,40.76176,-73.98393,,Private room,,,,,,,481,1,,,,,,,,,,,,,326,,893,,,,2022-08-24,,,,,,,,,,12,,,,57.24,Late Summer,Manhattan
37122162.0,,,,,Beautiful Standard Full Room at The Ridge,,,,266755066,,,,,,,,,,,,,,,,,,Lower East Side,,,40.72259,-73.98841,,Private room,,,,,,,236,1,,,,,,,,,,,,,321,,888,,,,2022-09-05,,,,,,,,,,4,,,,28.07,Early Fall,Manhattan
6527658.0,,,,,Private Loft In the Hollywood Hills (by Universal),,,,717514,,,,,,,,,,,,,,,,,,Hollywood Hills,,,34.1217,-118.34665,,Entire home/apt,,,,,,,112,1,,,,,,,,,,,,,200,,887,,,,2022-09-05,,,,,,,,,,1,,,,10.01,Early Fall,City of Los Angeles
3563533.0,,,,,Rustic Space Perched in the Hollywood Hills,,,,922109,,,,,,,,,,,,,,,,,,Hollywood Hills,,,34.11477,-118.32085,,Entire home/apt,,,,,,,281,1,,,,,,,,,,,,,287,,886,,,,2022-09-06,,,,,,,,,,1,,,,10.54,Early Fall,City of Los Angeles
22215734.0,,,,,"Guest Suite, Private Ent., 5 min LAX, Westchester",,,,162330741,,,,,,,,,,,,,,,,,,Inglewood,,,33.95781,-118.37776,,Entire home/apt,,,,,,,117,1,,,,,,,,,,,,,53,,875,,,,2022-09-06,,,,,,,,,,2,,,,15.17,Early Fall,Other Cities
11398085.0,,,,,Cottage in the Heart of the City,,,,59816374,,,,,,,,,,,,,,,,,,Interbay,,,47.63563,-122.3882,,Entire home/apt,,,,,,,94,1,,,,,,,,,,,,,120,,871,,,,2022-09-15,,,,,,,,,,1,,,,11.22,Early Fall,Interbay
507927.0,,,,,Pirates of the Caribbean Getaway,,,,2258135,,,,,,,,,,,,,,,,,,Topanga,,,34.07282,-118.59627,,Entire home/apt,,,,,,,216,2,,,,,,,,,,,,,308,,860,,,,2022-08-24,,,,,,,,,,1,,,,6.94,Late Summer,Unincorporated Areas
