id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
8357,https://www.airbnb.com/rooms/8357,2.02406E+13,6/30/2024,city scrape,Mushroom Dome Retreat & the LAND of Paradise Suite,"June 11th and 12th just opened up! Want a last minute reservation?<br />We have been listing the Mushroom Dome Retreat and the LAND of Paradise Suite with airbnb since July '09 and have had the most reservations of any of their listings. There is a reason we are so popular: the cabin is near a Redwood Grove, and at night, there is hardly any sound here - maybe  crickets. It is a Paradise here: a great place to unwind & restore. Even when it rains!","Even though we live only an 8-10 minute drive to Aptos village and the beaches, as we live on 10 acres, it feels very remote and private here. It is usually very quiet at night - sometimes we can hear the ocean waves crashing on the beach. There is lots of land to hike on and explore here as well.<br />We have 9 people living here in a rather loose community.",https://a0.muscache.com/pictures/miso/Hosting-8357/original/84c0eb81-800c-42c3-9a28-74fc147fd6ff.jpeg,24281,https://www.airbnb.com/users/show/24281,Kitty And Michael,7/3/2009,"Aptos, CA","We live on 10 beautiful acres of sun, oak forest, redwood groves and gardens with a parrot, 2 cats, a small dog, 12 chickens and from 200 - 500 hummingbirds - depending on the time of year..  

I have been hosting on airbnb since July, 2009 and really love what this company has made possible. I have met so many wonderful people from around the world that I would never have met if I hadn't had this opportunity with airbnb! Some of our guests (especially the ones from Europe) have never seen a hummingbird before and here they get to see them up close - just a few feet from them as the birds ""hum"" around the feeders.

We welcome you to come experience the peace and tranquility that our wonderful land has to offer.",within a few hours,100%,98%,t,https://a0.muscache.com/im/pictures/user/User-24281/original/1cfda431-f429-45d7-912a-4ff55f736aaa.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-24281/original/1cfda431-f429-45d7-912a-4ff55f736aaa.jpeg?aki_policy=profile_x_medium,Santa Cruz,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Unincorporated Areas,,37.00939,-121.88547,Dome,Entire home/apt,3,1,1 bath,1,2,"[""Heating"", ""Children\u2019s books and toys"", ""Ethernet connection"", ""Iron"", ""Luggage dropoff allowed"", ""First aid kit"", ""Outdoor playground"", ""Toaster"", ""Refrigerator"", ""Fire extinguisher"", ""Hot water kettle"", ""Mini fridge"", ""Conditioner"", ""Host greets you"", ""Books and reading material"", ""Essentials"", ""Clothing storage"", ""Board games"", ""Portable fans"", ""Kitchen"", ""Body soap"", ""Outdoor furniture"", ""Private patio or balcony"", ""Private backyard \u2013 Not fully fenced"", ""Blender"", ""Coffee maker"", ""Dining table"", ""Shampoo"", ""Smoke alarm"", ""Cooking basics"", ""Dishes and silverware"", ""Cleaning products"", ""Hair dryer"", ""Pets allowed"", ""Extra pillows and blankets"", ""Coffee"", ""Outdoor dining area"", ""Long term stays allowed"", ""Bed linens"", ""TV"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Children\u2019s bikes"", ""Wifi"", ""Barbecue utensils"", ""Free parking on premises"", ""Wine glasses"", ""Hot water"", ""Hangers""]",$159.00 ,2,28,2,2,28,28,2,28,,t,2,16,41,125,6/30/2024,1891,77,2,7/19/2009,6/16/2024,4.88,4.91,4.83,4.92,4.94,4.9,4.8,,f,2,2,0,0,10.39
11879,https://www.airbnb.com/rooms/11879,2.02406E+13,6/30/2024,city scrape,Sunny room close to beach and parks,Sunny room in a cozy home with a 40 acre park across the street with hiking trails down to a creek which meanders through the redwoods. Radiant heated kitchen floor and fireplace keep it warm and cozy on cool nights. Deck in back overlooks Valencia creek and a view of the forest with no houses in view. The house in near the end of a quiet street with zero traffic and yet quite,,https://a0.muscache.com/pictures/5acb8501-4855-4b6e-ace1-ef95461e82fa.jpg,44764,https://www.airbnb.com/users/show/44764,Steven,10/9/2009,"Aptos, CA","Easygoing, environmentalist, musician/educator, progressive. Active playing music, gardening, teaching and working on the homestead. ",within a few hours,100%,67%,t,https://a0.muscache.com/im/pictures/user/f627403d-ec01-42b0-b669-f1a3419bcc6d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f627403d-ec01-42b0-b669-f1a3419bcc6d.jpg?aki_policy=profile_x_medium,Santa Cruz,1,9,"['email', 'phone']",t,t,,Unincorporated Areas,,36.98048,-121.88129,Private room in home,Private room,2,1,1 shared bath,1,1,"[""Heating"", ""Children\u2019s books and toys"", ""Oven"", ""Iron"", ""Indoor fireplace"", ""Refrigerator"", ""Fire extinguisher"", ""EV charger"", ""Essentials"", ""Bathtub"", ""Free street parking"", ""Dryer"", ""Kitchen"", ""Single level home"", ""Beach essentials"", ""Coffee maker"", ""TV with standard cable"", ""Shampoo"", ""Smoke alarm"", ""Cooking basics"", ""Dishes and silverware"", ""Hair dryer"", ""Extra pillows and blankets"", ""Shared patio or balcony"", ""Dedicated workspace"", ""Stove"", ""Bed linens"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""BBQ grill"", ""Dishwasher"", ""Wifi"", ""Washer"", ""Free parking on premises"", ""Shared backyard \u2013 Not fully fenced"", ""Fireplace guards"", ""Hot water"", ""Hangers""]",$75.00 ,30,30,30,30,30,30,30,30,,t,10,40,70,160,6/30/2024,101,9,2,8/11/2010,6/24/2024,4.82,4.81,4.61,4.96,4.92,4.95,4.8,,f,1,0,1,0,0.6
24548,https://www.airbnb.com/rooms/24548,2.02406E+13,6/30/2024,city scrape,Mini Guest Suite with Private Entrance,Small guest suite with private entrance in great location near Harbor and Beaches.,Great location close to Santa Cruz Harbor and beaches. Twin Lake and Harbor beach is a 10 to 15 minute walk. Also within walking distance to Seabright neighborhood and boardwalk. Pleasure Point and Midtown is a 5 minute drive.  Downtown Santa Cruz is a 10 minute drive or Uber ride. Place is across the street from Upper Harbor access with great walking path all around Harbor to Lighthouse and Seabright Beach. Also access to Arana Gulch field with great walking paths next to cows grazing and nice view of Harbor.,https://a0.muscache.com/pictures/miso/Hosting-24548/original/9bd847ee-a6ec-4161-bd3d-499d70a482bb.jpeg,99532,https://www.airbnb.com/users/show/99532,Kerstin,3/26/2010,"Santa Cruz, CA","Easy going and friendly I like to think.

I like to garden. Passionate about cooking and eating good, preferably locally grown healthy foods. I compost, hang laundry to dry outside when not foggy.",within an hour,100%,92%,t,https://a0.muscache.com/im/pictures/user/ff3b622c-1b2b-4a5f-945e-aedd5d52ec44.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ff3b622c-1b2b-4a5f-945e-aedd5d52ec44.jpg?aki_policy=profile_x_medium,Santa Cruz,1,3,"['email', 'phone']",t,t,Neighborhood highlights,City of Santa Cruz,,36.97191,-121.99735,Entire guest suite,Entire home/apt,2,1,1 bath,1,1,"[""Heating"", ""Iron"", ""TV with Amazon Prime Video, Netflix"", ""Self check-in"", ""Fire extinguisher"", ""Hot water kettle"", ""Private entrance"", ""Conditioner"", ""Garden view"", ""Shared beach access"", ""Essentials"", ""Bathtub"", ""Clothing storage"", ""Free street parking"", ""Exterior security cameras on property"", ""Body soap"", ""Private patio or balcony"", ""Lockbox"", ""Shampoo"", ""Smoke alarm"", ""Hair dryer"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Bed linens"", ""Carbon monoxide alarm"", ""Wifi"", ""Free parking on premises"", ""Coffee maker: pour-over coffee"", ""Hot water"", ""Hangers""]",$146.00 ,1,5,1,1,5,5,1,5,,t,7,7,7,7,6/30/2024,572,27,0,4/24/2010,5/26/2024,4.93,4.95,4.98,4.95,4.96,4.86,4.9,,f,1,1,0,0,3.31
31721,https://www.airbnb.com/rooms/31721,2.02406E+13,6/30/2024,city scrape,Surf cottage Pleasure Point walk to surf/ coffee,"Private free standing beach cottage w/hot tub. Walk to surf/beach/coffee/food<br />Comfy & cozy in the prime location to surf, have a surf lesson, have a beach day or just watch surfers catch waves all day.  Conveniently located close to coffee, restaurants, markets, the beach and more.  Remote work here.  Healing, tranquil & relaxing. The PRIVATE hot tub just completes that experience. :-) Upon approval we can accept 1 small/medium size dog,  just please no cats. $100 additional pet cleaning fee",I love everything about this neighborhood.  I love how I know my neighbors.  I love how walking down to check the surf is difficult just because of the friends you see along the way.  We don't have sidewalks and we like it that way. What we have are backyard bbqs and each other.,https://a0.muscache.com/pictures/73aa203a-cb53-4502-85e0-19a88f85cb9d.jpg,136376,https://www.airbnb.com/users/show/136376,Annie,6/1/2010,"Santa Cruz, CA","Hey Airbnb folks thanks for taking the time to check out my profile.  I've spent most of my life in Santa Cruz and I am a big fan of keeping the integrity of Pleasure Point, architecturally and as a community. Traveling and surfing are a few of the greatest loves in my life. There is so much to be learned from people and places. My love for surfing has taken me across the globe.  Enjoy this sweet little shpot in the heart of Pleasure Point.",within an hour,100%,81%,t,https://a0.muscache.com/im/pictures/user/06955955-97b6-4054-b946-cd2db22d233e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/06955955-97b6-4054-b946-cd2db22d233e.jpg?aki_policy=profile_x_medium,Santa Cruz,2,2,"['email', 'phone']",t,f,Neighborhood highlights,City of Capitola,,36.95845,-121.97194,Entire cottage,Entire home/apt,2,1,1 bath,1,1,"[""Heating"", ""Ethernet connection"", ""Iron"", ""Oven"", ""Freezer"", ""Coffee maker: drip coffee maker, french press"", ""First aid kit"", ""BBQ grill: gas"", ""Self check-in"", ""Toaster"", ""Refrigerator"", ""Fire extinguisher"", ""Hot water kettle"", ""Private entrance"", ""Private backyard \u2013 Fully fenced"", ""Private hot tub"", ""Conditioner"", ""Sound system"", ""Baking sheet"", ""Shared beach access"", ""Laundromat nearby"", ""Keypad"", ""Essentials"", ""Other gas stove"", ""Free street parking"", ""Clothing storage: closet and dresser"", ""Portable fans"", ""Kitchen"", ""Body soap"", ""Shower gel"", ""Outdoor furniture"", ""Private patio or balcony"", ""Single level home"", ""Free washer \u2013 In building"", ""Sun loungers"", ""Blender"", ""Beach essentials"", ""Microwave"", ""Dining table"", ""Shampoo"", ""Smoke alarm"", ""Cooking basics"", ""Dishes and silverware"", ""Cleaning products"", ""Hair dryer"", ""24 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, premium cable, Roku"", ""Extra pillows and blankets"", ""Pets allowed"", ""Dedicated workspace"", ""Outdoor dining area"", ""Free dryer \u2013 In building"", ""Long term stays allowed"", ""Bed linens"", ""Carbon monoxide alarm"", ""Wifi"", ""Barbecue utensils"", ""Free parking on premises"", ""Wine glasses"", ""Hot water"", ""Hangers""]",$242.00 ,4,30,1,4,30,30,3.4,30,,t,6,19,49,324,6/30/2024,405,62,6,11/26/2012,6/24/2024,4.74,4.8,4.72,4.94,4.92,4.95,4.52,,f,2,2,0,0,2.87
37791,https://www.airbnb.com/rooms/37791,2.02406E+13,6/30/2024,city scrape,The GetAway,The GetAway is available for stays of 31 days or longer.,,https://a0.muscache.com/pictures/980962/a1eddfaf_original.jpg,162553,https://www.airbnb.com/users/show/162553,Katie,7/10/2010,"Santa Cruz, CA","My husband and I are school teachers who love Santa Cruz and are interested in sharing it with family and friends. We enjoy theatre, dance, literature, gardening, the beach, the woods, animals and travel -- not necessarily in that order. We look forward to meeting new folks traveling to our ""quiet little seaside"" town! ",within an hour,100%,100%,f,https://a0.muscache.com/im/users/162553/profile_pic/1358715988/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/162553/profile_pic/1358715988/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,f,,City of Santa Cruz,,36.97425,-122.00706,Entire rental unit,Entire home/apt,2,1,1 bath,1,1,"[""Heating"", ""Oven"", ""Freezer"", ""Gas stove"", ""Refrigerator"", ""Hot water kettle"", ""Private entrance"", ""Private backyard \u2013 Fully fenced"", ""Host greets you"", ""Shared beach access"", ""Laundromat nearby"", ""Essentials"", ""32 inch HDTV with Apple TV"", ""Free street parking"", ""Kitchen"", ""Body soap"", ""Microwave"", ""Smoke alarm"", ""Cooking basics"", ""Dishes and silverware"", ""Cleaning products"", ""Extra pillows and blankets"", ""Ceiling fan"", ""Shared patio or balcony"", ""Dedicated workspace"", ""Outdoor dining area"", ""Long term stays allowed"", ""Bed linens"", ""Carbon monoxide alarm"", ""Wifi"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Free parking on premises"", ""Wine glasses"", ""Hot water"", ""Hangers""]",$100.00 ,31,365,31,31,365,365,31,365,,t,0,0,17,31,6/30/2024,90,1,0,8/1/2010,12/17/2023,4.59,4.64,4.67,4.8,4.83,4.77,4.64,,f,1,1,0,0,0.53
43785,https://www.airbnb.com/rooms/43785,2.02406E+13,6/30/2024,city scrape,Guest bedroom in Victorian home,"More than 500 guests have written positive reviews, detailing how much they've appreciated a peaceful, quiet stay in my house.","The West side of Santa Cruz is an extension, uphill, from the historic Mission Plaza.  It is one of the original 'neighbourhoods' in Santa Cruz with many mid-late 1800s homes providing spectacular panoramic views of Monterey Bay.  My house was an original 'settler' homestead, built in the 1860s in one of the finest locations then and now.",https://a0.muscache.com/pictures/305117/1a131db0_original.jpg,191477,https://www.airbnb.com/users/show/191477,Caroline,8/4/2010,"Santa Cruz, CA","I am a phonetician, speech technologist, and linguist. 
Apart from my professional work, I enjoy my unique Victorian house, gardening, growing orchids, cooking and fine wines, antiques, painting, hiking, camping under the stars, international travel, and, most of all, my gorgeous Bengal cat.
This is a quiet, non-smoking, cat-loving house where dogs would have a hard time but cat-lovers will be delighted!
 ",within an hour,100%,93%,t,https://a0.muscache.com/im/users/191477/profile_pic/1315605330/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/191477/profile_pic/1315605330/original.jpg?aki_policy=profile_x_medium,Santa Cruz,1,1,"['email', 'phone']",t,t,Neighborhood highlights,City of Santa Cruz,,36.97774,-122.03403,Private room in home,Private room,2,1,1 private bath,1,2,"[""Luggage dropoff allowed"", ""Iron"", ""Central heating"", ""First aid kit"", ""Fire extinguisher"", ""Conditioner"", ""Host greets you"", ""Books and reading material"", ""Laundromat nearby"", ""Private backyard"", ""Essentials"", ""Free street parking"", ""Portable fans"", ""Bay view"", ""Body soap"", ""Shower gel"", ""Outdoor furniture"", ""Private patio or balcony"", ""Shampoo"", ""Smoke alarm"", ""Hair dryer"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Bed linens"", ""Carbon monoxide alarm"", ""Clothing storage: closet"", ""Wifi"", ""Free parking on premises"", ""Portable heater"", ""Hot water"", ""Hangers""]",$105.00 ,2,30,2,2,30,30,2,30,,t,6,22,48,323,6/30/2024,596,41,6,8/30/2010,6/24/2024,4.88,4.91,4.94,4.89,4.93,4.94,4.81,,f,1,0,1,0,3.54
49520,https://www.airbnb.com/rooms/49520,2.02406E+13,6/30/2024,city scrape,Guest Cottage with shared bath,"30 day minimum<br />Tiny garden cottage with a small kitchenette and small sleeping loft with a full futon.  This is a very cute, very cozy space -- perfect for a single person or a couple. The loft has a low ceiling -- think ship's bunk. . <br />Bathroom in main house (the cottage does not have its own bathroom).<br />There's a 30 night min/max to stay in compliance with County rules but longer stays are also an option.<br />We have cats and dogs. Visiting pets are welcome but there's a fee.",,https://a0.muscache.com/pictures/892035/5dffd635_original.jpg,225721,https://www.airbnb.com/users/show/225721,Christine,9/6/2010,"Santa Cruz, CA","I am an over employed PA in love with the country life. The property is a rambling half acre of flowers, vegetable gardens an fruit trees in the hilly setting of South Santa Cruz County. Large sunny decks flank the main house and invite guests outside to enjoy morning coffee and the New York Times. 
The house has a small downstairs bedroom with shared bath. There is also a much larger private suite of rooms upstairs (that is not listed).  The guest cottage is quite small but cozy and is sited under the trees at the bottom of the rose garden. It has a small kitchenette and shares the downstairs bathroom in the main house. Both the bedroom and the cottage have queen sized futons. The cottage sleeping loft is a short ladder climb up. Either space would be perfect for a couple. We can accommodate up to three couples, with children. Well behaved dogs are also welcome and guests are encouraged to cook in the main house in the country-style kitchen with oak floors and an antique gas stove . 
The outdoor spaces offer benches and tables to sit, read and even eat out doors. And the wood fired hot tub is quite popular. I especially love soaking under the stars....
I serve coffee in the morning if I am home and not working out of town.

",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/225721/profile_pic/1315754033/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/225721/profile_pic/1315754033/original.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,,Unincorporated Areas,,36.96186,-121.82077,Private room in rental unit,Private room,2,,,1,1,"[""Heating"", ""Essentials"", ""Indoor fireplace"", ""First aid kit"", ""Microwave"", ""Coffee maker"", ""Patio or balcony"", ""Refrigerator"", ""Smoke alarm"", ""Fire extinguisher"", ""Wifi"", ""Dishes and silverware"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Pets allowed"", ""Washer""]",$741.00 ,30,30,30,30,30,30,30,30,,t,30,60,90,365,6/30/2024,145,0,0,6/28/2011,9/15/2018,4.68,4.72,4.55,4.85,4.87,4.78,4.64,,f,1,0,1,0,0.92
126012,https://www.airbnb.com/rooms/126012,2.02406E+13,6/30/2024,city scrape,Santa Cruz Mtns. Dragonfly Cottage,A peaceful setting in the California Redwoods. Your sweet stay will have you resting on the deck watching a great number of birds. Or maybe staring off into the woods from the hot tub......Dragonfly Cottage is one of a kind.,,https://a0.muscache.com/pictures/899718/8a4a0645_original.jpg,625642,https://www.airbnb.com/users/show/625642,Mary Jane,5/25/2011,"Corralitos, CA","I am a woman interested in almost everything. I am married, the mother of five children, ages 24 to 44. I am grandmother to seven, great-grandmother to one! I am a local to the area and love my native California. I make soap and body products and am an avid reader. I have and affinity for people an animals. Thinking is my favorite activity. Talking with thinkers comes next. I love nature and have chosen to live in the mountains my entire adult life. I have traveled to Mexico, Canada, Ireland, Europe and around the States. I look forward to more travels and the good people wherever I go... 
Bless you, Mary Jane",within an hour,100%,96%,t,https://a0.muscache.com/im/pictures/user/965608ca-ea23-4b95-bd95-9e2fd317010d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/965608ca-ea23-4b95-bd95-9e2fd317010d.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Unincorporated Areas,,37.03283,-121.827,Entire cabin,Entire home/apt,2,1,1 bath,1,1,"[""Heating"", ""Free parking on premises"", ""Essentials"", ""Private hot tub"", ""Bed linens"", ""Carbon monoxide alarm"", ""Coffee maker"", ""TV with standard cable"", ""Refrigerator"", ""Shampoo"", ""Smoke alarm"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Kitchen"", ""Hair dryer"", ""Private entrance"", ""Extra pillows and blankets"", ""Pets allowed"", ""Hot water""]",$170.00 ,1,30,1,2,1125,1125,1.3,1125,,t,6,15,40,255,6/30/2024,743,80,4,7/3/2011,6/14/2024,4.91,4.93,4.9,4.93,4.9,4.9,4.81,,t,2,2,0,0,4.7
153903,https://www.airbnb.com/rooms/153903,2.02406E+13,6/30/2024,city scrape,Redwood Treehouse Santa Cruz Mtns.,,,https://a0.muscache.com/pictures/miso/Hosting-153903/original/211054da-3149-4b3a-b268-cb851da3532a.jpeg,625642,https://www.airbnb.com/users/show/625642,Mary Jane,5/25/2011,"Corralitos, CA","I am a woman interested in almost everything. I am married, the mother of five children, ages 24 to 44. I am grandmother to seven, great-grandmother to one! I am a local to the area and love my native California. I make soap and body products and am an avid reader. I have and affinity for people an animals. Thinking is my favorite activity. Talking with thinkers comes next. I love nature and have chosen to live in the mountains my entire adult life. I have traveled to Mexico, Canada, Ireland, Europe and around the States. I look forward to more travels and the good people wherever I go... 
Bless you, Mary Jane",within an hour,100%,96%,t,https://a0.muscache.com/im/pictures/user/965608ca-ea23-4b95-bd95-9e2fd317010d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/965608ca-ea23-4b95-bd95-9e2fd317010d.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Unincorporated Areas,,37.03054,-121.8258,Treehouse,Entire home/apt,2,1,1 bath,1,1,"[""Heating"", ""Private hot tub"", ""Carbon monoxide alarm"", ""TV"", ""Coffee maker"", ""Refrigerator"", ""Smoke alarm"", ""Shampoo"", ""Cooking basics"", ""Dishes and silverware"", ""Kitchen"", ""Pets allowed"", ""Hot water""]",$170.00 ,1,365,1,2,365,365,1.3,365,,t,0,3,13,87,6/30/2024,1022,83,2,7/11/2011,6/9/2024,4.89,4.86,4.81,4.86,4.82,4.83,4.78,,f,2,2,0,0,6.47
193973,https://www.airbnb.com/rooms/193973,2.02406E+13,6/30/2024,city scrape,Harborside Retreat close to Beach and Boardwalk,"This one of kind cottage is said to be on the smallest lot in Santa Cruz and just 2 blocks away from the Santa Cruz Yacht Harbor and beautiful Twin Lakes Beach.  There are many delicious restaurants, a beautiful walking path and easy access to the Santa Cruz Beach Boardwalk. All within your reach. The house boasts a queen bed, full size kitchen and bath, along with fast Wifi and a desk for working remotely.  This is the perfect romantic getaway",People are really friendly in this comfortable neighborhood.  You can just park your car and have plenty to do within walking distance.  Or use it for home base and visit Big Sur or the Monterey Bay Aquarium.  There is plenty of beauty and action right here.  Amazing what you will find to do.  Always something happening in Santa Cruz.,https://a0.muscache.com/pictures/miso/Hosting-193973/original/2be7a9d0-bc90-4bbb-b7f2-341f46792fed.jpeg,100114471,https://www.airbnb.com/users/show/100114471,Janiece,10/17/2016,"Santa Cruz, CA","Hello I love being an Airbnb host in Santa Cruz,  CA",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/33757b01-8e79-4e44-88de-d2ca93f1a815.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/33757b01-8e79-4e44-88de-d2ca93f1a815.jpg?aki_policy=profile_x_medium,Santa Cruz,26,50,"['email', 'phone']",t,t,Neighborhood highlights,City of Santa Cruz,,36.96590123,-121.9998663,Tiny home,Entire home/apt,2,1,1 bath,0,2,"[""Heating"", ""Luggage dropoff allowed"", ""Oven"", ""Iron"", ""First aid kit"", ""Self check-in"", ""Refrigerator"", ""Fire extinguisher"", ""Private entrance"", ""Essentials"", ""Free street parking"", ""Kitchen"", ""Single level home"", ""Microwave"", ""Lockbox"", ""Coffee maker"", ""TV with standard cable"", ""Shampoo"", ""Smoke alarm"", ""Cooking basics"", ""Dishes and silverware"", ""Hair dryer"", ""Extra pillows and blankets"", ""Stove"", ""Bed linens"", ""Carbon monoxide alarm"", ""Wifi"", ""Free parking on premises"", ""Hot water"", ""Hangers""]",$181.00 ,1,31,1,3,1125,1125,1.5,1125,,t,20,50,70,341,6/30/2024,586,51,5,11/5/2011,6/13/2024,4.84,4.91,4.91,4.97,4.98,4.91,4.72,,f,18,18,0,0,3.8
